Study Hours,Attendance,Previous Mark,Internal Mark,Assignment Completion,Performance
5,56,82,54,89,Good
7,72,47,39,72,Average
3,56,75,80,100,Good
5,78,79,90,78,Good
1,97,55,35,58,Needs Improvement
3,54,80,61,87,Average
4,70,89,85,64,Good
8,99,84,78,72,Excellent
2,65,81,87,48,Average
3,56,73,60,47,Average
4,74,51,57,75,Average
8,75,83,78,51,Excellent
7,83,57,44,100,Good
1,66,67,49,92,Average
2,98,54,71,82,Average
7,76,54,75,84,Good
1,64,44,42,76,Needs Improvement
7,98,93,66,43,Excellent
3,97,44,57,63,Average
8,75,40,65,70,Good
3,51,92,93,95,Good
4,80,68,39,53,Average
6,78,61,95,70,Good
2,57,79,62,60,Average
5,82,58,82,48,Good
5,92,42,60,46,Average
7,55,79,53,62,Good
8,86,45,82,45,Good
6,57,68,76,44,Good
4,88,92,43,61,Good
4,71,92,78,52,Good
4,50,57,80,73,Average
7,99,82,58,41,Good
3,58,72,91,58,Average
2,80,64,74,67,Average
3,59,43,55,98,Average
1,97,57,35,78,Average
1,87,74,76,93,Average
1,91,95,47,60,Average
7,72,35,81,67,Good
6,73,78,67,65,Good
6,82,86,63,94,Good
4,90,93,44,98,Good
6,93,60,78,98,Good
2,50,42,45,85,Needs Improvement
8,83,51,60,70,Good
5,55,86,86,72,Good
8,64,88,91,99,Excellent
2,92,73,95,57,Good
4,62,42,93,61,Average
6,90,42,68,94,Good
4,73,64,47,63,Average
4,61,70,86,54,Average
2,67,36,83,74,Average
4,77,76,95,59,Good
2,89,68,74,94,Good
3,80,35,43,95,Average
6,97,40,65,58,Good
6,94,62,62,72,Good
5,88,79,86,100,Excellent
3,80,85,58,85,Good
8,64,61,55,53,Good
1,71,53,39,76,Needs Improvement
3,56,94,85,77,Good
1,69,62,81,79,Average
3,97,54,37,41,Average
8,71,61,61,58,Good
3,55,35,64,92,Average
8,83,53,63,54,Good
4,99,66,91,58,Good
6,94,91,44,59,Good
4,63,80,53,50,Average
3,73,82,46,49,Average
7,77,68,49,61,Good
8,62,41,90,93,Good
3,63,58,92,40,Average
7,62,95,37,57,Good
3,100,37,73,43,Average
6,88,88,49,74,Good
7,92,76,46,55,Good
4,91,52,52,88,Average
6,98,82,46,75,Good
3,55,86,64,87,Average
1,94,37,95,78,Average
1,53,41,70,66,Needs Improvement
4,74,75,79,92,Good
8,80,95,65,69,Excellent
2,68,36,35,97,Needs Improvement
4,57,75,40,100,Average
6,59,43,51,75,Average
2,92,74,49,81,Average
6,66,73,86,55,Good
3,65,40,86,89,Average
7,97,76,87,80,Excellent
5,57,89,73,95,Good
5,96,87,68,56,Good
2,96,36,74,88,Average
4,80,50,59,68,Average
7,58,49,75,51,Good
1,57,62,83,50,Average
7,64,43,81,74,Good
4,79,87,72,59,Good
6,57,82,38,46,Average
6,73,84,79,66,Good
4,55,47,57,79,Average
3,77,35,80,59,Average
6,51,90,67,98,Good
2,86,52,88,87,Average
5,52,75,55,71,Average
1,59,90,91,97,Good
6,58,37,86,66,Average
6,92,35,55,48,Average
1,52,35,64,42,Needs Improvement
7,71,44,67,97,Good
4,80,38,81,98,Average
7,76,85,77,85,Excellent
1,84,71,86,46,Average
2,90,94,57,57,Average
4,70,83,65,42,Average
2,92,93,61,43,Average
3,66,49,90,55,Average
6,100,52,53,74,Good
2,75,86,70,43,Average
6,87,49,42,100,Good
1,94,38,86,67,Average
2,90,75,58,56,Average
5,93,83,55,71,Good
7,77,94,70,88,Excellent
2,52,91,65,59,Average
3,75,42,86,42,Average
8,59,82,67,43,Good
8,95,86,66,91,Excellent
5,62,77,41,46,Average
4,61,85,36,78,Average
3,62,86,59,63,Average
5,82,62,95,87,Good
5,79,37,90,43,Average
3,98,62,73,94,Good
1,71,47,73,82,Average
2,64,41,58,67,Needs Improvement
8,52,42,45,52,Average
4,50,77,35,99,Average
4,69,65,55,58,Average
4,97,67,54,69,Good
7,76,80,46,64,Good
1,95,68,50,54,Average
1,55,73,36,65,Needs Improvement
3,54,40,72,49,Needs Improvement
4,92,86,91,40,Good
6,55,62,77,57,Good
4,52,44,62,46,Average
4,70,84,60,65,Good
8,97,79,53,92,Excellent
2,85,38,43,49,Needs Improvement
5,55,46,71,40,Average
5,92,35,69,46,Average
4,93,51,35,70,Average
7,90,41,60,56,Good
3,96,78,51,69,Good
8,62,66,45,41,Good
3,99,94,77,60,Good
5,66,80,67,65,Good
5,90,72,73,66,Good
7,79,66,78,73,Good
4,89,38,94,87,Good
3,82,39,83,68,Average
1,82,72,72,91,Average
